,,, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21,Q22,Q23,, Q25, Q26, Q27, Q28,, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38, Q39,,,, Q43, Q44, Q45, Q46, Q47
106788336,,,0,1,Don't know what it is,Don't know what it is,2,1,1,0,0,0,0,0,Don't know what it is,0,0,1,1,0,1,2,2,0,0,,0,0,0,0,,0,1,0,0,Other: ,Other: ,Other: ,Don't know what it is,Don't know what it is,0,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,0
106794006,,,2,Other: ,2,1,Don't know what it is,2,2,2,Other: ,Don't know what it is,Don't know what it is,,2,2,2,2,2,2,Other: ,2,Don't know,2,0,,1,2,Other: ,2,,Other: ,3,2,2,1,Other: ,3,Other: ,3,2,,,,3,3,0,3,Don't know what it is
106854513,,,2,Other,3,2,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,1,2,2,1,,1,2,2,2,,2,2,2,3,2,3,3,2,2,2,,,,2,2,2,3,3
106854531,,,2,2,2,3,Don't know what it is,2,2,2,Don't know what it is,2,2,1,2,2,Don't know what it is,2,2,2,2,2,Don't know,2,Don't know what it is,,2,2,2,Don't know what it is,,3,3,1,2,Don't know what it is,Don't know what it is,2,2,2,2,,,,2,2,2,2,2
106855917,,,3,3,3,2,2,Other: ,Other: ,2,Don't know what it is,Don't know what it is,1,Other: ,3,3,2,2,2,2,2,2,3,3,0,,3,2,0,Don't know what it is,,Other: ,Other: ,2,2,Other: ,1,3,2,1,Don't know what it is,,,,2,2,2,2,2
106903887,,,0,0,2,2,2,2,2,0,1,1,Don't know what it is,Don't know what it is,Don't know what it is,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,1,3,1,,0,2,1,Don't know what it is,,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
106934163,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,1,3,3,3,,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3
106969965,,,2,2,2,2,Don't know what it is,3,,2,3,2,1,2,1,3,2,2,2,3,1,2,1,1,1,,2,2,1,2,,3,3,3,3,3,3,2,2,Don't know what it is,2,,,,3,3,3,2,2
106970055,,,2,2,2,2,2,2,1,1,1,2,0,1,2,2,2,2,2,2,2,1,2,2,1,,2,2,2,2,,1,1,1,1,1,1,1,2,2,1,,,,1,1,1,1,3
106970667,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,2,,2,2,2,2,,0,1,2,2,2,2,2,2,2,2,,,,2,2,2,3,2
106971108,,,2,1,2,0,Don't know what it is,2,2,1,2,1,Other: ,0,0,0,1,0,1,1,1,2,Don't know,2,0,,1,2,1,1,,0,0,2,0,2,2,3,2,1,1,,,,1,1,2,1,2
106971594,,,2,2,2,2,3,2,3,2,2,2,1,1,2,Other: ,2,2,2,2,1,1,2,1,1,,1,1,1,1,,1,1,2,2,2,1,2,2,2,1,,,,2,2,1,1,2
106971603,,,2,2,3,2,1,3,2,1,2,3,Other: ,Don't know what it is,2,2,3,2,2,2,2,2,2,2,1,,2,2,2,2,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,,,,2,2,2,3,3
106972035,,,Other: ,1,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,1,Other: ,Don't know what it is,Don't know what it is,2,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,Don't know,Other: ,0,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,,,,,,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,3,Don't know what it is
106973574,,,2,2,2,1,1,2,2,Don't know what it is,Don't know what it is,Other,Don't know what it is,0,1,1,Don't know what it is,Don't know what it is,1,1,Don't know what it is,2,1,1,1,,1,Don't know what it is,1,1,,1,1,0,1,0,0,2,2,1,2,,,,0,0,0,1,0
106973673,,,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,,3,3,3,3,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,3
106998225,,,2,Other: ,2,2,Don't know what it is,2,1,1,2,2,1,Don't know what it is,2,1,2,1,2,2,2,1,2,1,0,,1,1,1,Don't know what it is,,Don't know what it is,1,Don't know what it is,Don't know what it is,1,Other: ,1,Don't know what it is,Don't know what it is,Don't know what it is,,,,1,1,1,1,1
107000556,,,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,,1,1,1,1,,2,2,3,2,3,2,2,2,2,2,,,,2,3,2,2,0
107004777,,,2,2,2,3,2,1,1,2,2,2,2,2,2,1,1,2,2,2,3,1,2,2,2,,1,1,1,1,,1,2,Other,1,2,2,2,2,1,1,,,,2,2,2,2,2
107006091,,,3,2,2,3,2,2,3,2,2,2,1,1,3,2,3,3,3,3,1,1,2,2,1,,2,2,2,1,,2,2,2,2,2,2,3,3,2,2,,,,1,1,1,2,1
107006091,,,,3,3,3,2,3,3,3,2,3,2,2,3,2,3,3,3,3,2,1,2,2,2,,3,2,2,2,,3,3,3,3,3,3,3,2,2,3,,,,2,2,2,2,2
107006595,,,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,,Other: ,Other: ,Other: ,Other: ,,0,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,,,,Other: ,Other: ,Other: ,Other: ,Other: 
107006820,,,3,3,2,3,2,2,1,Don't know what it is,2,2,2,Don't know what it is,3,2,2,2,3,3,3,1,2,2,2,,3,3,3,3,,2,2,2,3,3,3,2,2,3,2,,,,2,1,2,2,1
107008296,,,,2,2,2,Don't know what it is,1,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,1,1,1,1,Don't know what it is,2,Don't know,1,0,,1,1,1,2,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: 
107103291,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,1,2
107148651,,,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,Don't know what it is,Don't know what it is,2,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,,3,Don't know what it is,,1,1,1,Don't know what it is,,0,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,2,1,2,,,,2,1,2,2,3
107148651,,,2,2,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,1,2,2,2,2,Don't know what it is,2,2,1,1,Don't know,3,Don't know what it is,,1,1,1,1,,1,1,2,2,1,2,1,2,1,1,,,,2,1,2,2,2
107211381,,,2,2,1,2,2,3,2,1,1,1,3,,2,2,2,2,2,2,2,1,2,1,0,,1,Don't know what it is,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,0,2,2,1,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,1
107212677,,,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,2,1,2,1,1,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,3
107212875,,,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,0,,1,1,1,2,,1,1,2,1,1,1,2,2,2,2,,,,1,1,0,1,1
107218068,,,2,1,0,2,Other: ,1,1,Other: ,2,2,0,0,2,0,2,1,2,2,2,2,2,2,1,,2,1,1,Don't know what it is,,0,1,2,0,0,Other: ,0,2,0,2,,,,1,2,2,3,2
107218140,,,Don't know what it is,2,2,2,2,3,1,2,2,2,2,Don't know what it is,Don't know what it is,3,Don't know what it is,2,3,3,2,2,2,2,Other: ,,2,2,2,Don't know what it is,,2,1,2,2,2,3,3,3,3,3,,,,2,2,2,2,2
107218599,,,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,,1,2,1,2,,1,2,2,2,3,2,3,2,2,2,,,,2,1,2,3,Other: 
107220156,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,2,3,2,,1,1,1,2,,2,2,2,2,2,2,,2,2,2,,,,3,2,2,2,1
107220966,,,3,2,3,2,1,2,2,3,3,2,2,2,3,3,3,3,3,3,3,1,3,3,Don't know what it is,,3,3,2,Don't know what it is,,1,2,1,1,Don't know what it is,2,2,2,2,2,,,,2,2,3,3,3
107221641,,,2,2,2,1,1,2,2,1,1,1,0,0,1,0,1,1,1,1,0,2,2,2,2,,0,0,0,0,,0,0,1,1,1,Other: ,2,2,1,1,,,,1,1,1,3,1
107222604,,,2,2,3,3,3,2,2,2,3,2,Other: ,0,3,3,3,3,3,3,3,1,3,3,2,,2,2,3,Don't know what it is,,3,3,2,2,3,2,3,3,3,3,,,,1,1,1,2,3
107223315,,,2,2,2,2,2,2,2,2,2,Don't know what it is,2,2,2,2,2,1,2,2,2,3,1,0,0,,1,1,1,1,,3,3,2,2,1,1,2,2,Don't know what it is,3,,,,2,3,3,2,1
107224521,,,Other: ,,2,3,Don't know what it is,Don't know what it is,2,2,2,3,Don't know what it is,Don't know what it is,2,2,Other: ,Don't know what it is,Other: ,Other: ,1,1,Other: ,2,Don't know what it is,,1,1,Other: ,Don't know what it is,,2,2,3,Don't know what it is,Don't know what it is,Other: ,3,2,Don't know what it is,0,,,,Don't know what it is,Don't know what it is,Don't know what it is,1,2
107224566,,,3,3,3,3,Don't know what it is,2,3,2,3,3,2,2,3,3,3,3,3,3,3,1,3,3,Don't know what it is,,3,3,3,Don't know what it is,,2,2,Don't know what it is,Don't know what it is,2,Don't know what it is,Other: ,2,3,3,,,,2,2,2,2,Other: 
107224719,,,2,2,3,2,3,2,2,2,2,2,1,Don't know what it is,2,3,2,2,2,2,2,2,2,3,2,,2,2,1,1,,1,2,2,1,1,2,2,2,2,2,,,,1,1,2,1,1
107225511,,,3,1,2,3,2,2,2,3,3,3,2,1,2,2,3,3,3,3,1,1,3,3,3,,1,1,1,1,,3,3,3,3,3,3,3,3,3,3,,,,2,2,2,1,2
107239668,,,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3,1,2,3,3,,2,2,2,3,,3,3,2,3,3,3,3,3,3,3,,,,3,3,3,3,3
107245383,,,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,1,2,2,1,,3,2,2,2,,2,2,2,,1,2,1,2,2,2,,,,2,2,2,1,3
107245788,,,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,,1,2,2,2,,1,1,2,2,2,2,2,2,2,2,,,,2,2,2,2,1
107249766,,,2,2,1,2,2,0,1,2,2,Other,2,2,2,2,2,2,1,1,2,2,2,1,1,,1,1,1,1,,1,2,1,1,1,0,1,2,,2,,,,0,0,0,1,0
107351385,,,2,2,2,3,2,2,1,Don't know what it is,2,2,1,1,2,3,2,2,2,2,2,1,Don't know,2,2,,2,2,1,2,,0,1,2,Don't know what it is,Don't know what it is,2,2,2,2,2,,,,2,1,1,1,2
107358252,,,3,3,3,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,1,2,0,0,3,3,3,2,3,3,3,1,Don't know,3,0,,2,2,Don't know what it is,Don't know what it is,,1,1,1,1,Don't know what it is,1,3,3,3,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
107463543,,,3,3,3,3,1,2,1,2,2,2,2,2,3,3,3,3,3,3,3,1,2,3,Don't know what it is,,3,3,3,3,,2,2,1,1,1,Don't know what it is,3,3,3,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,1
107510235,,,2,2,2,1,1,2,,3,3,2,2,Don't know what it is,,2,2,1,2,2,1,2,Don't know,2,Don't know what it is,,1,2,1,Don't know what it is,,2,1,2,Don't know what it is,Don't know what it is,1,2,1,2,2,,,,3,3,2,3,2
107513799,,,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,2,2,2,3,1,2,1,0,,2,2,2,2,,1,1,2,3,2,3,3,3,3,2,,,,2,2,2,2,3
107513925,,,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,1,2,Other: ,1,,2,2,2,2,,2,2,2,3,2,3,3,3,3,3,,,,2,2,2,1,2
107517660,,,1,2,2,1,1,1,1,0,1,1,2,Don't know what it is,1,0,1,1,2,1,0,2,Don't know,1,0,,1,1,0,1,,0,0,2,Don't know what it is,2,1,2,2,2,1,,,,1,1,1,2,2
107518785,,,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,,1,1,0,1,,0,1,2,1,1,1,2,2,1,1,,,,1,2,2,2,2
107519712,,,2,2,2,3,3,2,Don't know what it is,2,2,2,3,3,2,3,2,2,2,2,3,1,2,2,1,,2,3,3,2,,1,1,2,3,2,3,3,3,2,3,,,,2,2,2,2,3
107520540,,,2,2,2,2,2,2,2,1,2,2,0,1,2,2,3,2,2,2,1,2,2,2,1,,2,2,2,2,,0,0,2,0,0,0,2,2,2,2,,,,1,0,0,1,2
107521053,,,2,2,2,3,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,1,1,,2,2,2,2,,1,1,2,2,2,2,3,2,3,2,,,,1,1,1,2,3
107521530,,,Don't know what it is,0,3,2,3,2,2,3,2,2,Don't know what it is,0,1,0,2,1,0,0,0,1,Don't know,2,Don't know what it is,,0,3,0,2,,0,2,2,0,0,2,2,2,2,2,,,,3,Don't know what it is,3,2,Other: 
107557557,,,3,2,2,2,2,2,2,Other: ,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,,2,3,2,Other: ,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,2,1,1,,,,Other: ,Other: ,Other: ,2,Other: 
107559636,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,,3,3,3,3,,3,3,3,3,3,3,3,3,,3,,,,3,3,3,3,3
107562129,,,2,2,3,1,1,2,2,2,2,2,Don't know what it is,2,3,3,2,2,2,2,2,1,1,2,Don't know what it is,,2,2,1,1,,0,0,2,2,1,1,2,2,1,2,,,,2,2,2,2,3
107565792,,,3,2,2,2,2,1,1,2,1,2,0,2,2,2,2,2,2,2,2,1,3,2,Don't know what it is,,2,2,2,Don't know what it is,,2,1,2,2,2,3,3,2,2,2,,,,2,2,2,2,2
107569023,,,2,2,2,2,2,3,2,1,3,2,1,1,1,2,2,3,2,2,2,1,3,1,1,,3,3,3,3,,2,2,2,2,2,3,3,3,3,2,,,,2,2,2,2,3
107569779,,,2,2,3,1,2,3,2,2,1,1,2,1,2,2,3,2,2,3,3,1,1,2,Don't know what it is,,2,1,2,1,,2,2,3,2,2,2,2,1,1,2,,,,2,2,1,2,1
107569950,,,1,1,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,1,1,1,1,Don't know what it is,Don't know what it is,Don't know what it is,1,1,2,2,1,2,Don't know,1,Don't know what it is,,0,Don't know what it is,Don't know what it is,Don't know what it is,,0,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,Don't know what it is,,,,Don't know what it is,0,Don't know what it is,Don't know what it is,1
107576043,,,2,2,3,1,3,2,1,2,3,3,0,2,3,2,3,3,3,3,3,1,2,Other: ,Don't know what it is,,2,2,2,2,,0,0,2,2,Don't know what it is,Don't know what it is,3,3,3,1,,,,1,0,2,1,3
107950866,,,2,1,2,1,2,1,1,0,Don't know what it is,Don't know what it is,2,3,2,2,Don't know what it is,2,2,2,3,1,3,0,0,,2,1,2,1,,1,1,1,0,Other: ,Other: ,3,2,1,3,,,,3,3,3,3,2
107969595,,,3,3,3,2,1,3,Don't know what it is,1,2,2,2,Other: ,3,3,3,3,3,3,3,1,Other: ,2,Other: ,,2,2,1,Other: ,,1,1,2,Other: ,Other: ,1,Other: ,Other: ,Other: ,Other: ,,,,3,1,1,2,1
107974050,,,3,2,2,2,1,2,1,3,2,2,1,1,2,2,2,2,3,3,2,1,2,1,1,,2,2,2,2,,1,1,2,1,1,2,2,2,2,3,,,,1,1,2,1,2
107978037,,,2,2,2,2,2,3,2,0,1,2,2,2,1,1,1,2,2,2,1,2,Don't know,2,2,,1,1,1,1,,1,1,2,2,2,2,3,3,2,2,,,,2,2,2,2,2
108204162,,,2,2,2,3,3,3,2,2,3,3,2,2,3,1,2,2,3,3,2,2,2,1,0,,0,1,1,1,,1,2,2,1,1,2,3,3,3,2,,,,1,1,1,1,0
108205971,,,3,2,2,2,2,2,1,1,1,2,1,0,2,2,2,2,1,1,2,1,3,1,1,,1,1,1,2,,1,1,2,2,Don't know what it is,1,3,2,2,2,,,,1,1,1,1,1
108478014,,,1,1,1,Don't know what it is,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,3,Don't know,0,Don't know what it is,,Don't know what it is,1,1,1,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,1
108485736,,,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,,3,3,3,3,,1,2,3,3,3,3,3,3,3,3,,,,3,2,2,3,2
108493926,,,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,2,3,2,2,Don't know what it is,Don't know what it is,2,2,Don't know what it is,Don't know what it is,2,2,Don't know what it is,1,2,2,1,,1,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2
108507624,,,2,2,3,2,3,2,2,2,Don't know what it is,2,2,2,2,2,2,2,2,2,2,2,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,2,Don't know what it is,,2,1,2,2,2,3,2,2,Don't know what it is,Don't know what it is,,,,2,2,2,2,2
108507984,,,3,1,3,1,2,0,1,3,Don't know what it is,2,2,Don't know what it is,3,3,3,3,2,2,3,1,2,2,Don't know what it is,,2,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,0,2,2,Don't know what it is,2,,,,2,2,3,3,2
108510441,,,2,2,3,1,3,1,1,2,1,2,0,2,2,3,1,1,0,0,1,Other: ,1,2,0,,2,1,1,Don't know what it is,,1,2,1,2,2,2,3,,1,Don't know what it is,,,,2,2,2,2,2
108603987,,,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,,2,1,1,,1,2,1,2,,1,1,2,2,2,2,2,2,2,2,,,,,1,1,2,1
108611007,,,2,2,2,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,,1,2,1,2,,1,1,2,2,2,2,2,2,1,1,,,,1,1,1,1,1
108616983,,,3,2,2,2,Don't know what it is,Don't know what it is,2,2,Don't know what it is,2,Other: ,Don't know what it is,3,2,Don't know what it is,2,2,2,2,1,Don't know,2,Don't know what it is,,2,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: 
108617712,,,1,1,2,1,Don't know what it is,1,,1,1,1,1,0,0,,1,1,1,1,,2,2,1,1,,0,1,0,1,,1,1,1,1,0,0,2,1,1,1,,,,0,0,0,1,0
108620043,,,2,2,2,2,2,2,2,2,2,2,1,1,2,,2,3,3,3,2,1,2,2,2,,1,2,2,2,,1,1,2,2,2,2,3,2,2,2,,,,2,2,2,2,2
108622050,,,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,0,,1,1,1,1,,0,1,1,1,1,1,2,2,1,1,,,,2,1,2,3,3
108626199,,,2,3,2,2,1,1,2,3,2,3,2,2,2,3,2,2,3,3,3,1,2,2,2,,2,2,1,1,,1,1,2,2,2,2,2,2,2,2,,,,1,1,1,1,2
108626514,,,3,3,3,2,2,Don't know what it is,Don't know what it is,Other: ,Other: ,Other: ,Other: ,Other: ,3,3,3,3,3,Other: ,3,2,Other: ,3,3,,3,3,3,Don't know what it is,,2,2,1,Other: ,3,3,3,3,2,2,,,,0,0,0,1,2
108627153,,,2,1,2,1,0,2,1,0,0,0,0,2,2,2,1,1,0,0,1,2,1,1,0,,2,2,0,0,,0,0,1,1,1,1,2,1,1,1,,,,2,1,3,2,3
108628161,,,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,1,2,Other: ,2,1,Don't know what it is,2,1,2,2,1,1,1,2,2,2,Don't know what it is,,0,1,0,Don't know what it is,,Other: ,Other: ,2,Other: ,Other: ,2,2,2,2,1,,,,1,1,1,3,2
108629970,,,3,2,2,3,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2,1,2,2,0,,1,1,1,2,,2,3,2,2,2,1,2,2,2,1,,,,2,2,1,1,1
108631032,,,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,,1,1,1,1,,1,1,2,2,2,2,1,2,1,1,,,,1,1,1,2,1
108631401,,,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3,0,,1,1,1,1,,2,2,2,,,2,2,2,2,2,,,,1,1,1,2,1
108689667,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,0,Don't know,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,2,2,2,3,2,2,3,3,2,2,,,,1,1,1,3,3
108690234,,,3,3,3,2,3,Other: ,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,3,3,3,3,3,3,1,Don't know,Don't know what it is,Don't know what it is,,3,3,3,Don't know what it is,,Other: ,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: ,Don't know what it is,Don't know what it is,,,,Other: ,Other: ,Other: ,3,3
108922668,,,Other: ,2,2,2,1,1,1,0,2,Don't know what it is,2,Don't know what it is,3,3,3,2,3,2,3,2,2,2,0,,,2,3,2,,3,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,1
108923766,,,Other: ,2,2,1,1,2,1,2,2,2,2,2,3,2,2,2,3,2,2,1,2,2,0,,1,1,1,2,,2,2,2,2,2,2,1,2,2,3,,,,3,3,3,2,0
108924828,,,2,2,2,2,2,1,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,3,2,2,2,2,2,0,2,2,Don't know what it is,,Other: ,Other: ,2,Other: ,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is
108927825,,,3,2,3,3,2,2,1,Other: ,Other: ,Other: ,Other: ,2,3,3,2,2,2,3,3,1,3,3,Don't know what it is,,3,3,3,3,,1,1,2,0,2,2,3,1,3,3,,,,2,2,1,2,Other: 
108928599,,,2,2,2,2,1,Don't know what it is,Don't know what it is,1,Don't know what it is,Don't know what it is,2,Don't know what it is,2,2,Don't know what it is,Don't know what it is,2,2,2,Other: ,Don't know,2,Don't know what it is,,1,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,2
108930111,,,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,1,,2,2,2,1,,1,1,2,3,2,2,2,,2,2,,,,2,2,2,2,2
109001373,,,3,2,2,Don't know what it is,2,2,2,1,2,2,1,Don't know what it is,3,3,2,2,2,2,2,2,2,1,0,,Don't know what it is,2,2,2,,1,1,2,1,Don't know what it is,Don't know what it is,2,2,1,2,,,,2,2,2,2,2
109031118,,,2,2,3,2,1,2,2,3,3,3,2,1,3,3,3,2,2,2,3,1,2,3,1,,2,3,2,2,,2,2,2,2,2,2,3,3,2,2,,,,2,2,2,3,2
109081248,,,3,3,3,2,2,1,2,3,3,3,Don't know what it is,3,3,3,3,3,3,3,3,2,3,1,Don't know what it is,,3,3,1,Don't know what it is,,1,1,3,Don't know what it is,3,3,3,3,3,3,,,,3,3,3,2,3
109114737,,,3,3,3,2,3,2,1,2,2,2,2,1,1,1,3,3,3,3,3,1,2,2,1,,1,1,1,1,,1,1,1,2,1,3,3,3,3,1,,,,1,1,3,2,2
109114836,,,2,0,2,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,0,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,2,1,2,1,2,2,0,2,Don't know,2,Don't know what it is,,1,1,1,1,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,2,2,,,,1,0,2,1,2
109179339,,,3,1,2,2,,2,2,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,2,2,2,2,2,2,1,1,3,Don't know what it is,,1,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,1,1,1
109188276,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2,,2,2,2,2,,3,3,3,3,3,3,3,3,Other: ,3,,,,2,2,2,,2
109190787,,,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,,3,3,3,3,,2,2,3,3,3,,3,3,3,3,,,,3,3,3,2,3
109190841,,,2,2,2,2,1,2,2,2,2,2,0,0,2,0,3,3,2,2,0,1,2,2,1,,1,1,0,1,,0,0,0,0,0,0,3,2,2,0,,,,0,0,2,3,1
109259547,,,3,3,3,3,2,2,2,2,2,2,1,0,3,1,2,2,2,2,2,2,2,2,1,,1,2,1,2,,0,2,2,Other: ,0,1,3,2,2,1,,,,2,1,0,2,1
